127.0.0.1 - - [23/Aug/2020:07:31:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:31:20 +0900] "GET /kgn/ HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:31:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:43 +0900] "GET /kgn/ HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:43 +0900] "GET /kgn/ HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/ HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/ HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/login HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/resources/img/facebook.png HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/resources/img/kakao.png HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/resources/img/naver.png HTTP/1.1" 200 2925
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:44 +0900] "GET /kgn/resources/img/google.png HTTP/1.1" 200 6734
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:50 +0900] "GET /kgn/naverLog.do?code=wLj7tYg2In8Fp1n9Z9&state=897646238224700092298150020217070345852 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:52 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:52 +0900] "GET /kgn/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:52 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:55 +0900] "GET /kgn/login HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:37:56 +0900] "GET /kgn/naverLog.do?code=4DP67gNIBemiQjplSR&state=1031124460328447319562103582324926234601 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:38:00 +0900] "GET /kgn/naverLogout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:38:00 +0900] "GET /kgn/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:38:00 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:41:05 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:41:06 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:41:06 +0900] "GET /kgn/home HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [23/Aug/2020:07:41:06 +0900] "GET /kgn/home HTTP/1.1" 200 283
