127.0.0.1 - - [29/Jul/2020:22:55:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/ HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/cat3.jpg HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/dog2.jpg HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/dog1.jpg HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/dog3.jpg HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/cat2.jpg HTTP/1.1" 200 2380
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/cat4.jpg HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/dog4.jpg HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /dad/resources/img/cat1.jpg HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:55:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:56:09 +0900] "GET /dad/page2 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [29/Jul/2020:22:59:12 +0900] "GET /dad/page2 HTTP/1.1" 200 161
