127.0.0.1 - - [27/Feb/2021:18:53:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:00 +0900] "GET /cont/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:02 +0900] "GET /cont/loginsub?roomId=aa%40bb&id=aa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:02 +0900] "GET /cont/chatting?roomId=aa@bb HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:03 +0900] "GET /cont/echo/info?t=1614419763046 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:03 +0900] "GET /cont/echo/657/hbsekgrw/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:16 +0900] "GET /cont/ HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:19 +0900] "GET /cont/loginsub?roomId=aa%40bb&id=aa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:19 +0900] "GET /cont/chatting?roomId=aa@bb HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:19 +0900] "GET /cont/echo/info?t=1614419779680 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:19 +0900] "GET /cont/echo/475/zzgdpi0r/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:21 +0900] "GET /cont/loginsub?roomId=aa%40bb&id=bb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:21 +0900] "GET /cont/chatting?roomId=aa@bb HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:21 +0900] "GET /cont/echo/info?t=1614419781455 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [27/Feb/2021:18:56:21 +0900] "GET /cont/echo/113/lzuadlpo/websocket HTTP/1.1" 101 -
